source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,spin_S,multiplicity,alpha,beta,coefficient,weight,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11000000000000000010000000000,01110000000000000000000000000,0.05242810,0.00274871,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,10100000000000000100000000000,01110000000000000000000000000,-0.05242810,0.00274871,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01110000000000000000000000000,11000000000000000010000000000,0.05242810,0.00274871,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01110000000000000000000000000,10100000000000000100000000000,-0.05242810,0.00274871,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,1,-106.968001152700,0.000,1.000,11100000000000000000000000000,11100000000000000000000000000,0.99098590,0.98205305,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01110000000000000000000000000,-0.50759350,0.25765116,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01110000000000000000000000000,11100000000000000000000000000,0.50759350,0.25765116,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01100001000000000000000000000,-0.25933090,0.06725252,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01100001000000000000000000000,11100000000000000000000000000,0.25933090,0.06725252,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01100010000000000000000000000,0.23811110,0.05669690,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01100010000000000000000000000,11100000000000000000000000000,-0.23811110,0.05669690,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01100000001000000000000000000,0.23795120,0.05662077,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01100000001000000000000000000,11100000000000000000000000000,-0.23795120,0.05662077,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01100000000000001000000000000,0.11087810,0.01229395,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01100000000000001000000000000,11100000000000000000000000000,-0.11087810,0.01229395,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01100000000000000001000000000,-0.07993560,0.00638970,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01100000000000000001000000000,11100000000000000000000000000,0.07993560,0.00638970,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11100000000000000000000000000,01100000000100000000000000000,0.05601150,0.00313729,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01100000000100000000000000000,11100000000000000000000000000,-0.05601150,0.00313729,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,10100000000000000010000000000,01110000000000000000000000000,0.05198470,0.00270241,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,11000000000000000100000000000,01110000000000000000000000000,-0.05198470,0.00270241,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01110000000000000000000000000,10100000000000000010000000000,-0.05198470,0.00270241,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,1.000,3.000,01110000000000000000000000000,11000000000000000100000000000,0.05198470,0.00270241,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01110000000000000000000000000,11100000000000000000000000000,0.51426580,0.26446931,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01110000000000000000000000000,0.51426580,0.26446931,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01100001000000000000000000000,11100000000000000000000000000,0.26160300,0.06843613,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01100001000000000000000000000,0.26160300,0.06843613,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01100010000000000000000000000,11100000000000000000000000000,-0.23851090,0.05688745,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01100010000000000000000000000,-0.23851090,0.05688745,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01100000001000000000000000000,11100000000000000000000000000,-0.22887890,0.05238555,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01100000001000000000000000000,-0.22887890,0.05238555,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01100000000000001000000000000,11100000000000000000000000000,-0.10691450,0.01143071,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01100000000000001000000000000,-0.10691450,0.01143071,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01100000000000000001000000000,11100000000000000000000000000,0.06989120,0.00488478,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01100000000000000001000000000,0.06989120,0.00488478,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01100000000100000000000000000,11100000000000000000000000000,-0.06072270,0.00368725,printed_ci_coefficient_threshold_from_output
