source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,energy_rel_eV,gap_to_previous_Ha,gap_to_previous_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,multiplicity,s2,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,charge_Li,charge_F,natural_occupation_summary,notes
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.500000,3,-106.759063449900,6.11073111,0.006830251100,0.18586060,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.750000,1,-106.890935071800,2.52232147,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.750000,2,-106.768102763700,5.86475885,0.122832308100,3.34243738,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.750000,3,-106.760982957900,6.05849863,0.007119805800,0.19373979,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.000000,1,-106.873643944200,2.99283702,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.000000,2,-106.769677058500,5.82192010,0.103966885700,2.82908308,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.000000,3,-106.762812032600,6.00872698,0.006865025900,0.18680687,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.250000,1,-106.858709042100,3.39923641,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.250000,2,-106.770733918200,5.79316149,0.087975123900,2.39392508,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.250000,3,-106.764515445400,5.96237475,0.006218472800,0.16921327,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.500000,1,-106.845792316000,3.75071843,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.500000,2,-106.771392849600,5.77523105,0.074399466400,2.02451262,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.500000,3,-106.766026763900,5.92124968,0.005366085700,0.14601863,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.750000,1,-106.834571886700,4.05604187,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.750000,2,-106.771753024400,5.76543019,0.062818862300,1.70938833,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,3.750000,3,-106.767290092300,5.88687276,0.004462932100,0.12144257,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.000000,1,-106.824753957500,4.32320133,,,,,,,,,,,,,,,,surface_scan
