source_file,R_A,state,energy_Ha,energy_rel_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,charge_Li,charge_F,s2,multiplicity,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,natural_occupation_summary,status,notes
new_runs/single_points_properties/outputs/lif_sp_R_5_85.out,5.850000,2,-106.770824080500,5.79070805,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,-0.65505030,11010000000000000000000000000|11100000000000000000000000000,0.65505030,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_85.out,5.850000,3,-106.770018732600,5.81262268,,,,,,,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,-0.63400920,11100000000000000000000000000|11010000000000000000000000000,-0.63400920,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_90.out,5.900000,1,-106.778115801600,5.59229021,25.60930200,0.00000000,0.00000000,-25.60930200,0.89614300,-0.89614300,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.94554090,11100000000000000000000000000|11010000000000000000000000000,0.17838150,2.0000 2.0000 2.0000 1.9827 1.9827,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_90.out,5.900000,2,-106.770792705300,5.79156181,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.65558210,11100000000000000000000000000|11010000000000000000000000000,0.65558210,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_90.out,5.900000,3,-106.769986677200,5.81349495,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,0.63161610,11010000000000000000000000000|11100000000000000000000000000,0.63161610,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_95.out,5.950000,1,-106.777335329000,5.61352795,25.53193000,0.00000000,0.00000000,-25.53193000,0.88567300,-0.88567300,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.94007710,11100000000000000000000000000|11010000000000000000000000000,0.19081020,2.0000 2.0000 2.0000 1.9825 1.9825,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_95.out,5.950000,2,-106.770761985800,5.79239773,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65611820,11100000000000000000000000000|11010000000000000000000000000,-0.65611820,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_95.out,5.950000,3,-106.769948874300,5.81452362,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,0.62847160,11010000000000000000000000000|11100000000000000000000000000,0.62847160,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_00.out,6.000000,1,-106.776575741400,5.63419738,25.36298300,0.00000000,0.00000000,-25.36298300,0.87213600,-0.87213600,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.93302490,11100000000000000000000000000|11010000000000000000000000000,0.20561060,2.0000 2.0000 2.0000 1.9823 1.9823,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_00.out,6.000000,2,-106.770731962800,5.79321470,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.65662090,11100000000000000000000000000|11010000000000000000000000000,0.65662090,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_00.out,6.000000,3,-106.769903981200,5.81574522,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.62425890,11010000000000000000000000000|11100000000000000000000000000,-0.62425890,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_05.out,6.050000,1,-106.775838763100,5.65425158,25.06726100,0.00000000,0.00000000,-25.06726100,0.85439300,-0.85439300,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.92374990,11010000000000000000000000000|11100000000000000000000000000,0.22342720,2.0000 2.0000 2.0000 1.9820 1.9820,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_05.out,6.050000,2,-106.770702704900,5.79401084,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65710360,11100000000000000000000000000|11010000000000000000000000000,-0.65710360,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_05.out,6.050000,3,-106.769850092300,5.81721161,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.61856980,11010000000000000000000000000|11100000000000000000000000000,-0.61856980,,normal,ci_eigenvector
